gene	nt_length	present
caga|NC_000915.1:579921-583481(+)	3561	1
oipa|NC_000915.1:684774-685691(+)	918	1
saba|NC_000915.1:779008-780924(-)	1917	1
vaca|NC_000915.1:938415-942287(+)	3873	1
baba|NC_000915.1:1317838-1320039(-)	2202	1
