gene	nt_length
caga|NC_000915.1:579921-583481(+)	3561
oipa|NC_000915.1:684774-685691(+)	918
saba|NC_000915.1:779008-780924(-)	1917
vaca|NC_000915.1:938415-942287(+)	3873
baba|NC_000915.1:1317838-1320039(-)	2202
