gene	nt_length	present	aa_length_est	protein_length	EPIYA_count
caga|NC_000915.1:579921-583481(+)	3561	1	1187	1187.0	0
oipa|NC_000915.1:684774-685691(+)	918	1	306	306.0	0
saba|NC_000915.1:779008-780924(-)	1917	1	639	639.0	0
vaca|NC_000915.1:938415-942287(+)	3873	1	1291	1291.0	0
baba|NC_000915.1:1317838-1320039(-)	2202	1	734	734.0	0
